type,name,gu,dong,lat,lng,address
대형시민/도심공원,서대문독립공원,서대문구,현저동,37.57405446,126.9557506,서울특별시 서대문구 현저동 통일로
지역근린공원,온곡어린이공원,노원구,상계동,37.65989401,127.0610424,서울특별시 노원구 상계동 동일로
지역근린공원,부리근린공원,송파구,잠실동,37.5149991,127.0878247,서울특별시 송파구 잠실동 
지역근린공원,삼전어린이공원,송파구,삼전동,37.50177146,127.0901801,서울특별시 송파구 삼전동 
지역근린공원,샛강어린이공원,강북구,번동,37.63935588,127.0330362,서울특별시 강북구 번동 도봉로96다길
지역근린공원,오구어린이공원,양천구,신정동,37.5273195,126.8619266,서울특별시 양천구 신정동 
지역근린공원,혜림어린이공원,강동구,천호동,37.54444051,127.139942,서울특별시 강동구 천호동 천중로39길
지역근린공원,신창어린이공원,도봉구,창동,37.64006152,127.0408411,서울특별시 도봉구 창동 
지역근린공원,역사문화공원,송파구,풍납동,37.53612973,127.1171297,서울특별시 송파구 풍납동 
지역근린공원,말우물공원,강동구,고덕동,37.56003789,127.1694929,서울특별시 강동구 고덕동 상일로21길
지역근린공원,서마장공원,성동구,마장동,37.57152308,127.0374347,서울특별시 성동구 마장동 청계천로10가길
지역근린공원,새벽공원,동작구,상도동,37.50092304,126.9301553,서울특별시 동작구 상도동 상도로13길
지역근린공원,근린공원,중랑구,면목동,37.58807206,127.0839789,서울특별시 중랑구 면목동 
지역근린공원,아현공원,마포구,아현동,37.55287516,126.9567859,서울특별시 마포구 아현동 
지역근린공원,달맞이봉공원,성동구,옥수동,37.5436351,127.0203714,서울특별시 성동구 옥수동 
지역근린공원,자마장공원,광진구,자양동,37.53429977,127.0821583,서울특별시 광진구 자양동 자양로13길
지역근린공원,근린공원,강서구,가양동,37.57328526,126.8444694,서울특별시 강서구 가양동 강서로80길
지역근린공원,몽마르뜨공원,서초구,서초동,37.49563283,127.0039043,서울특별시 서초구 서초동 
지역근린공원,서리골공원,서초구,서초동,37.49711672,127.0075397,서울특별시 서초구 서초동 
지역근린공원,염창공원,강서구,염창동,37.55856214,126.8679449,서울특별시 강서구 염창동 
